Time    ,EPEL_TT ,EPPL_TT ,EPTO_TT ,EPEL_ZZ ,EPPL_ZZ ,EPTO_ZZ ,EPEL_TZ ,EPPL_TZ ,EPTO_TZ ,EPEL_RR ,EPPL_RR ,EPTO_RR ,S_TT    ,S_ZZ    ,S_TZ    ,S_EQV   ,EPPL_EQV,NL_EPEQ 
 0.1000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
 0.2000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.6000000E-03, 0.0000000E+00, 0.6000000E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.2571428E-03, 0.0000000E+00,-0.2571428E-03, 0.4054945E+02, 0.1351648E+03, 0.0000000E+00, 0.1201371E+03, 0.0000000E+00, 0.0000000E+00
 0.3000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1000000E-02, 0.0000000E+00, 0.1000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.4285714E-03, 0.0000000E+00,-0.4285714E-03, 0.6758242E+02, 0.2252747E+03, 0.0000000E+00, 0.2002285E+03, 0.0000000E+00, 0.0000000E+00
 0.4000000E+01, 0.3877521E-04,-0.3877521E-04, 0.0000000E+00, 0.1221091E-02, 0.1789089E-03, 0.1400000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.5399436E-03,-0.1401337E-03,-0.6800773E-03, 0.9125948E+02, 0.2777020E+03, 0.0000000E+00, 0.2451607E+03, 0.1882363E-03, 0.1882443E-03
 0.5000000E+01, 0.8207771E-04,-0.8207771E-04, 0.0000000E+00, 0.1388024E-02, 0.4119756E-03, 0.1800000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.6300451E-03,-0.3298979E-03,-0.9599430E-03, 0.1122962E+03, 0.3182346E+03, 0.0000000E+00, 0.2795481E+03, 0.4361141E-03, 0.4361857E-03
 0.6000000E+01, 0.1441874E-03,-0.1441874E-03, 0.0000000E+00, 0.1578916E-02, 0.8210836E-03, 0.2400000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.7384731E-03,-0.6768961E-03,-0.1415369E-02, 0.1391888E+03, 0.3654345E+03, 0.0000000E+00, 0.3194550E+03, 0.8767959E-03, 0.8771436E-03
 0.7000000E+01, 0.2245100E-03,-0.2245100E-03, 0.0000000E+00, 0.1775048E-02, 0.1524952E-02, 0.3300000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.8569533E-03,-0.1300442E-02,-0.2157396E-02, 0.1705385E+03, 0.4150463E+03, 0.0000000E+00, 0.3613384E+03, 0.1646620E-02, 0.1647768E-02
 0.8000000E+01, 0.2547252E-03,-0.2547252E-03, 0.0000000E+00, 0.1843239E-02, 0.1856761E-02, 0.3700000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.8991300E-03,-0.1602036E-02,-0.2501166E-02, 0.1819541E+03, 0.4324514E+03, 0.0000000E+00, 0.3760787E+03, 0.2013118E-02, 0.2014708E-02
 0.9000000E+01, 0.3113035E-03,-0.3113035E-03, 0.0000000E+00, 0.1974605E-02, 0.2625396E-02, 0.4600000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.9796749E-03,-0.2314092E-02,-0.3293767E-02, 0.2035774E+03, 0.4658671E+03, 0.0000000E+00, 0.4045194E+03, 0.2868755E-02, 0.2871468E-02
 0.1000000E+02, 0.3695429E-03,-0.3695429E-03, 0.0000000E+00, 0.2117835E-02, 0.3682165E-02, 0.5800000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1066019E-02,-0.3312623E-02,-0.4378642E-02, 0.2263771E+03, 0.5020692E+03, 0.0000000E+00, 0.4355033E+03, 0.4055315E-02, 0.4059536E-02
