No,S_TZ
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,29
12,53
13,73
14,80
15,77
16,69
17,60
18,47
19,34
20,21
21,7
22,-9
23,-25
24,-41
25,-56
26,-65
27,-71
28,-81
29,-87
30,-92
31,-94
32,-97
33,-98
34,-95
35,-90
36,-77
37,-58
38,-47
39,-31
40,-18
41,-9
42,4
43,15
44,21
45,33
46,39
47,49
48,60
49,73
50,77
51,86
52,86
53,81
54,73
55,58
56,43
57,27
58,10
59,-10
60,-30
61,-43
62,-51
63,-60
64,-65
65,-74
66,-81
67,-86
68,-90
69,-94
70,-95
71,-96
72,-95
73,-94
74,-87
75,-81
76,-70
77,-54
78,-39
79,-27
80,-15
81,-4
82,13
83,23
84,34
85,47
86,53
87,65
88,73
89,79
90,81
91,81
92,75
93,64
94,57
95,46
96,31
97,15
98,0
99,-15
100,-28
101,-43
102,-55
103,-60
104,-70
105,-77
106,-86
107,-93
108,-94
109,-99
110,-103
111,-96
112,-91
113,-86
114,-69
115,-44
116,-29
117,-17
118,-4
119,11
120,21
121,28
122,34
