Time    ,EPEL_TT ,EPPL_TT ,EPTO_TT ,EPEL_ZZ ,EPPL_ZZ ,EPTO_ZZ ,EPEL_TZ ,EPPL_TZ ,EPTO_TZ ,EPEL_RR ,EPPL_RR ,EPTO_RR ,S_TT    ,S_ZZ    ,S_TZ    ,S_EQV   ,EPPL_EQV,NL_EPEQ 
 0.1000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
 0.2000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.5000000E-03, 0.0000000E+00, 0.5000000E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.2142857E-03, 0.0000000E+00,-0.2142857E-03, 0.3379121E+02, 0.1126374E+03, 0.0000000E+00, 0.1001143E+03, 0.0000000E+00, 0.0000000E+00
 0.3000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1000000E-02, 0.0000000E+00, 0.1000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.4285714E-03, 0.0000000E+00,-0.4285714E-03, 0.6758242E+02, 0.2252747E+03, 0.0000000E+00, 0.2002285E+03, 0.0000000E+00, 0.0000000E+00
 0.4000000E+01, 0.2220343E-04,-0.2220343E-04, 0.0000000E+00, 0.1401457E-02, 0.9854270E-04, 0.1500000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.6101410E-03,-0.7633927E-04,-0.6864802E-03, 0.9971581E+02, 0.3172139E+03, 0.0000000E+00, 0.2809567E+03, 0.1033806E-03, 0.1033815E-03
 0.5000000E+01, 0.7731884E-04,-0.7731884E-04, 0.0000000E+00, 0.1525684E-02, 0.3743164E-03, 0.1900000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.6870014E-03,-0.2969976E-03,-0.9839990E-03, 0.1205274E+03, 0.3489235E+03, 0.0000000E+00, 0.3069522E+03, 0.3952203E-03, 0.3952644E-03
 0.6000000E+01, 0.1499329E-03,-0.1499329E-03, 0.0000000E+00, 0.1671685E-02, 0.8283154E-03, 0.2500000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.7806954E-03,-0.6783826E-03,-0.1459078E-02, 0.1467528E+03, 0.3867223E+03, 0.0000000E+00, 0.3381390E+03, 0.8827190E-03, 0.8830433E-03
 0.7000000E+01, 0.1921398E-03,-0.1921398E-03, 0.0000000E+00, 0.1745245E-02, 0.1154755E-02, 0.2900000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.8303082E-03,-0.9626152E-03,-0.1792923E-02, 0.1612322E+03, 0.4061451E+03, 0.0000000E+00, 0.3542118E+03, 0.1237472E-02, 0.1238139E-02
 0.8000000E+01, 0.2461703E-03,-0.2461703E-03, 0.0000000E+00, 0.1827706E-02, 0.1672294E-02, 0.3500000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.8888071E-03,-0.1426123E-02,-0.2314930E-02, 0.1789771E+03, 0.4283744E+03, 0.0000000E+00, 0.3726503E+03, 0.1805730E-02, 0.1807129E-02
 0.9000000E+01, 0.2836839E-03,-0.2836839E-03, 0.0000000E+00, 0.1877792E-02, 0.2122208E-02, 0.4000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.9263484E-03,-0.1838524E-02,-0.2764872E-02, 0.1908128E+03, 0.4421920E+03, 0.0000000E+00, 0.3841450E+03, 0.2304259E-02, 0.2306401E-02
 0.1000000E+02, 0.3261331E-03,-0.3261331E-03, 0.0000000E+00, 0.1930292E-02, 0.2769708E-02, 0.4700000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.9670449E-03,-0.2443575E-02,-0.3410620E-02, 0.2039241E+03, 0.4568899E+03, 0.0000000E+00, 0.3964373E+03, 0.3027508E-02, 0.3030815E-02
