No,SZZ,STT,STZ,EZZ,ETT,ETZ
1,116,45,0,0.050,0,0
2,231,82,0,0.100,0,0
3,303,107,0,0.140,0,0
4,338,123,0,0.170,0,0
5,363,139,0,0.200,0,0
6,389,156,0,0.240,0,0
7,409,176,0,0.300,0,0
8,422,190,0,0.360,0,0
9,436,205,0,0.440,0,0
10,444,213,0,0.500,0,0
11,455,225,0,0.590,0,0
12,466,234,0,0.670,0,0
13,476,242,0,0.750,0,0
14,456,320,15,0.745,0.055,0.040
15,437,348,26,0.739,0.080,0.060
16,414,364,34,0.730,0.100,0.077
17,383,385,46,0.715,0.132,0.100
18,353,398,56,0.700,0.160,0.120
19,317,409,67,0.680,0.196,0.145
20,289,418,69,0.660,0.230,0.163
21,266,428,69,0.640,0.265,0.180
22,239,435,68,0.620,0.298,0.192
23,208,441,63,0.590,0.342,0.204
24,179,447,55,0.560,0.383,0.210
25,164,451,47,0.540,0.415,0.212
26,151,454,43,0.520,0.443,0.215
27,137,428,38,0.500,0.470,0.215
28,126,459,28,0.480,0.500,0.214
29,113,461,21,0.460,0.535,0.211
30,100,463,9,0.430,0.575,0.205
31,96,466,0,0.410,0.609,0.197
32,87,467,-13,0.380,0.650,0.184
33,81,467,-26,0.355,0.693,0.165
34,76,467,-41,0.335,0.728,0.145
35,75,467,-57,0.310,0.777,0.115
36,72,467,-69,0.290,0.810,0.090
37,74,467,-78,0.275,0.846,0.062
38,77,467,-87,0.262,0.885,0.030
39,86,467,-94,0.255,0.923,0
40,100,467,-102,0.258,0.955,-0.030
41,127,472,-107,0.266,0.980,-0.060
42,154,476,-114,0.280,1.010,-0.090
43,188,477,-120,0.300,1.040,-0.120
44,229,483,-122,0.330,1.063,-0.150
45,257,485,-120,0.350,1.078,-0.170
46,278,487,-116,0.370,1.091,-0.185
47,312,488,-111,0.400,1.108,-0.200
48,346,492,-103,0.430,1.121,-0.210
49,376,496,-94,0.460,1.134,-0.215
50,410,500,-77,0.500,1.152,-0.217
51,437,502,-63,0.530,1.165,-0.213
52,455,503,-50,0.560,1.180,-0.207
53,475,504,-39,0.590,1.189,-0.193
54,486,507,-30,0.620,1.200,-0.176
55,493,508,-20,0.650,1.218,-0.152
56,500,510,-9,0.680,1.238,-0.125
57,498,513,-3,0.700,1.260,-0.103
58,496,517,9,0.720,1.285,-0.075
59,490,521,20,0.735,1.310,-0.049
60,482,523,36,0.745,1.335,-0.020
61,471,525,45,0.750,1.357,0
62,450,526,61,0.750,1.381,0.030
63,430,530,69,0.745,1.410,0.050
64,411,533,75,0.740,1.434,0.070
65,394,534,83,0.730,1.455,0.089
66,374,534,86,0.720,1.475,0.103
67,357,535,90,0.710,1.500,0.120
68,337,536,94,0.700,1.521,0.135
69,306,535,99,0.680,1.560,0.159
70,286,537,99,0.664,1.582,0.170
71,270,540,99,0.650,1.610,0.182
72,247,541,94,0.630,1.641,0.193
73,225,544,90,0.610,1.672,0.202
74,197,546,81,0.580,1.714,0.210
75,174,549,72,0.550,1.759,0.214
76,140,554,51,0.500,1.832,0.215
77,124,556,39,0.470,1.878,0.210
78,111,558,26,0.440,1.923,0.203
79,97,557,9,0.410,1.965,0.190
80,86,554,-13,0.380,2.010,0.172
81,81,550,-27,0.360,2.040,0.157
82,79,549,-43,0.340,2.075,0.138
83,72,545,-57,0.320,2.110,0.114
84,75,544,-70,0.295,2.160,0.082
85,76,541,-81,0.280,2.190,0.057
86,84,541,-93,0.265,2.234,0.025
87,94,541,-103,0.256,2.270,0
88,115,544,-113,0.252,2.300,-0.028
89,139,545,-126,0.260,2.330,-0.060
90,164,546,-129,0.270,2.360,-0.092
91,191,551,-129,0.285,2.387,-0.118
92,218,554,-131,0.300,2.400,-0.136
93,249,558,-130,0.320,2.418,-0.159
94,274,559,-129,0.340,2.432,-0.175
95,298,562,-129,0.360,2.448,-0.190
96,299,563,-121,0.380,2.460,-0.200
97,348,564,-116,0.400,2.470,-0.209
98,380,566,-105,0.430,2.480,-0.213
99,400,567,-99,0.450,2.490,-0.215
100,430,570,-86,0.480,2.505,-0.215
101,446,572,-77,0.500,2.513,-0.214
102,472,573,-60,0.530,2.527,-0.208
103,498,567,-45,0.570,2.543,-0.193
104,512,566,-34,0.600,2.555,-0.175
