Time    ,EPEL_TT ,EPPL_TT ,EPTO_TT ,EPEL_ZZ ,EPPL_ZZ ,EPTO_ZZ ,EPEL_TZ ,EPPL_TZ ,EPTO_TZ ,EPEL_RR ,EPPL_RR ,EPTO_RR ,S_TT    ,S_ZZ    ,S_TZ    ,S_EQV   ,EPPL_EQV,NL_EPEQ 
 0.1000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
 0.2000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.5000000E-03, 0.0000000E+00, 0.5000000E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.5000000E-03, 0.0000000E+00,-0.5000000E-03, 0.6833334E+02, 0.1366667E+03, 0.0000000E+00, 0.1183568E+03, 0.0000000E+00, 0.0000000E+00
 0.3000000E+01, 0.5912283E-16,-0.5912283E-16, 0.0000000E+00, 0.9539946E-03, 0.4600535E-04, 0.1000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.9539980E-03,-0.4600535E-04,-0.1000003E-02, 0.1303797E+03, 0.2607594E+03, 0.0000000E+00, 0.2258243E+03, 0.5312240E-04, 0.5312227E-04
 0.4000000E+01, 0.3793023E-15,-0.3793023E-15, 0.0000000E+00, 0.1060202E-02, 0.3397975E-03, 0.1400000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1060204E-02,-0.3397975E-03,-0.1400001E-02, 0.1448945E+03, 0.2897891E+03, 0.0000000E+00, 0.2509647E+03, 0.3923643E-03, 0.3923633E-03
 0.5000000E+01, 0.5736641E-15,-0.5736641E-15, 0.0000000E+00, 0.1134747E-02, 0.5652532E-03, 0.1700000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1134747E-02,-0.5652532E-03,-0.1700000E-02, 0.1550821E+03, 0.3101642E+03, 0.0000000E+00, 0.2686101E+03, 0.6526982E-03, 0.6526969E-03
 0.6000000E+01, 0.7387214E-15,-0.7387214E-15, 0.0000000E+00, 0.1205069E-02, 0.7949307E-03, 0.2000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1205070E-02,-0.7949307E-03,-0.2000001E-02, 0.1646929E+03, 0.3293857E+03, 0.0000000E+00, 0.2852564E+03, 0.9179069E-03, 0.9179054E-03
 0.7000000E+01, 0.9247321E-15,-0.9247321E-15, 0.0000000E+00, 0.1292537E-02, 0.1107463E-02, 0.2400000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1292539E-02,-0.1107463E-02,-0.2400002E-02, 0.1766470E+03, 0.3532940E+03, 0.0000000E+00, 0.3059616E+03, 0.1278788E-02, 0.1278785E-02
 0.8000000E+01, 0.1153684E-14,-0.1153684E-14, 0.0000000E+00, 0.1411065E-02, 0.1588935E-02, 0.3000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1411074E-02,-0.1588935E-02,-0.3000009E-02, 0.1928468E+03, 0.3856935E+03, 0.0000000E+00, 0.3340204E+03, 0.1834744E-02, 0.1834741E-02
 0.9000000E+01, 0.1343981E-14,-0.1343981E-14, 0.0000000E+00, 0.1515650E-02, 0.2084350E-02, 0.3600000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1515660E-02,-0.2084350E-02,-0.3600009E-02, 0.2071402E+03, 0.4142803E+03, 0.0000000E+00, 0.3587773E+03, 0.2406800E-02, 0.2406796E-02
 0.1000000E+02, 0.1558425E-14,-0.1558425E-14, 0.0000000E+00, 0.1635924E-02, 0.2764076E-02, 0.4400000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1635924E-02,-0.2764076E-02,-0.4400000E-02, 0.2235763E+03, 0.4471527E+03, 0.0000000E+00, 0.3872456E+03, 0.3191679E-02, 0.3191675E-02
 0.1100000E+02, 0.1698452E-14,-0.1698452E-14, 0.0000000E+00, 0.1713596E-02, 0.3286404E-02, 0.5000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1713607E-02,-0.3286404E-02,-0.5000011E-02, 0.2341930E+03, 0.4683860E+03, 0.0000000E+00, 0.4056341E+03, 0.3794812E-02, 0.3794807E-02
 0.1200000E+02, 0.1882220E-14,-0.1882220E-14, 0.0000000E+00, 0.1813147E-02, 0.4086853E-02, 0.5900000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1813147E-02,-0.4086853E-02,-0.5900000E-02, 0.2477968E+03, 0.4955936E+03, 0.0000000E+00, 0.4291967E+03, 0.4719091E-02, 0.4719085E-02
 0.1300000E+02, 0.2024198E-14,-0.2024198E-14, 0.0000000E+00, 0.1887414E-02, 0.4812586E-02, 0.6700000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1887414E-02,-0.4812586E-02,-0.6700000E-02, 0.2579466E+03, 0.5158932E+03, 0.0000000E+00, 0.4467766E+03, 0.5557096E-02, 0.5557090E-02
 0.1400000E+02, 0.2148973E-14,-0.2148973E-14, 0.0000000E+00, 0.1950819E-02, 0.5549181E-02, 0.7500000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1950819E-02,-0.5549181E-02,-0.7500000E-02, 0.2666119E+03, 0.5332238E+03, 0.0000000E+00, 0.4617853E+03, 0.6407643E-02, 0.6407636E-02
 0.1500000E+02, 0.4481663E-03, 0.1018337E-03, 0.5500000E-03, 0.1621797E-02, 0.5828203E-02, 0.7450000E-02, 0.3259391E-03, 0.7406090E-04, 0.4000000E-03,-0.2069969E-02,-0.5930037E-02,-0.8000006E-02, 0.3441456E+03, 0.5045418E+03, 0.4454532E+02, 0.4531177E+03, 0.6789926E-02, 0.6815280E-02
 0.1600000E+02, 0.5969593E-03, 0.2030407E-03, 0.8000000E-03, 0.1451603E-02, 0.5938396E-02, 0.7390000E-02, 0.4504196E-03, 0.1495804E-03, 0.6000000E-03,-0.2048563E-02,-0.6141437E-02,-0.8190000E-02, 0.3615547E+03, 0.4783561E+03, 0.6155737E+02, 0.4449297E+03, 0.6979388E-02, 0.7044333E-02
 0.1700000E+02, 0.7032850E-03, 0.2967150E-03, 0.1000000E-02, 0.1298986E-02, 0.6001014E-02, 0.7300000E-02, 0.5479634E-03, 0.2220366E-03, 0.7700000E-03,-0.2002271E-02,-0.6297729E-02,-0.8300000E-02, 0.3697593E+03, 0.4511717E+03, 0.7488834E+02, 0.4362083E+03, 0.7111503E-02, 0.7222674E-02
 0.1800000E+02, 0.8476002E-03, 0.4723998E-03, 0.1320000E-02, 0.1087659E-02, 0.6062341E-02, 0.7150000E-02, 0.6429220E-03, 0.3570780E-03, 0.1000000E-02,-0.1935259E-02,-0.6534741E-02,-0.8470001E-02, 0.3803242E+03, 0.4131321E+03, 0.8786607E+02, 0.4258660E+03, 0.7299908E-02, 0.7514284E-02
 0.1900000E+02, 0.9524033E-03, 0.6475967E-03, 0.1600000E-02, 0.9159890E-03, 0.6084011E-02, 0.7000000E-02, 0.7114490E-03, 0.4885510E-03, 0.1200000E-02,-0.1868393E-02,-0.6731608E-02,-0.8600001E-02, 0.3855088E+03, 0.3805321E+03, 0.9723141E+02, 0.4184317E+03, 0.7448780E-02, 0.7778366E-02
