No,ETT
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0.055
15,0.080
16,0.100
17,0.132
18,0.160
19,0.196
20,0.230
21,0.265
22,0.298
23,0.342
24,0.383
25,0.415
26,0.443
27,0.470
28,0.500
29,0.535
30,0.575
31,0.609
32,0.650
33,0.693
34,0.728
35,0.777
36,0.810
37,0.846
38,0.885
39,0.923
40,0.955
41,0.980
42,1.010
43,1.040
44,1.063
45,1.078
46,1.091
47,1.108
48,1.121
49,1.134
50,1.152
51,1.165
52,1.180
53,1.189
54,1.200
55,1.218
56,1.238
57,1.260
58,1.285
59,1.310
60,1.335
61,1.357
62,1.381
63,1.410
64,1.434
65,1.455
66,1.475
67,1.500
68,1.521
69,1.560
70,1.582
71,1.610
72,1.641
73,1.672
74,1.714
75,1.759
76,1.832
77,1.878
78,1.923
79,1.965
80,2.010
81,2.040
82,2.075
83,2.110
84,2.160
85,2.190
86,2.234
87,2.270
88,2.300
89,2.330
90,2.360
91,2.387
92,2.400
93,2.418
94,2.432
95,2.448
96,2.460
97,2.470
98,2.480
99,2.490
100,2.505
101,2.513
102,2.527
103,2.543
104,2.555
