No,ETZ
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0.040
15,0.060
16,0.077
17,0.100
18,0.120
19,0.145
20,0.163
21,0.180
22,0.192
23,0.204
24,0.210
25,0.212
26,0.215
27,0.215
28,0.214
29,0.211
30,0.205
31,0.197
32,0.184
33,0.165
34,0.145
35,0.115
36,0.090
37,0.062
38,0.030
39,0
40,-0.030
41,-0.060
42,-0.090
43,-0.120
44,-0.150
45,-0.170
46,-0.185
47,-0.200
48,-0.210
49,-0.215
50,-0.217
51,-0.213
52,-0.207
53,-0.193
54,-0.176
55,-0.152
56,-0.125
57,-0.103
58,-0.075
59,-0.049
60,-0.020
61,0
62,0.030
63,0.050
64,0.070
65,0.089
66,0.103
67,0.120
68,0.135
69,0.159
70,0.170
71,0.182
72,0.193
73,0.202
74,0.210
75,0.214
76,0.215
77,0.210
78,0.203
79,0.190
80,0.172
81,0.157
82,0.138
83,0.114
84,0.082
85,0.057
86,0.025
87,0
88,-0.028
89,-0.060
90,-0.092
91,-0.118
92,-0.136
93,-0.159
94,-0.175
95,-0.190
96,-0.200
97,-0.209
98,-0.213
99,-0.215
100,-0.215
101,-0.214
102,-0.208
103,-0.193
104,-0.175
