No,EZZ
1,0.050
2,0.100
3,0.140
4,0.170
5,0.200
6,0.240
7,0.300
8,0.360
9,0.440
10,0.500
11,0.590
12,0.670
13,0.750
14,0.745
15,0.739
16,0.730
17,0.715
18,0.700
19,0.680
20,0.660
21,0.640
22,0.620
23,0.590
24,0.560
25,0.540
26,0.520
27,0.500
28,0.480
29,0.460
30,0.430
31,0.410
32,0.380
33,0.355
34,0.335
35,0.310
36,0.290
37,0.275
38,0.262
39,0.255
40,0.258
41,0.266
42,0.280
43,0.300
44,0.330
45,0.350
46,0.370
47,0.400
48,0.430
49,0.460
50,0.500
51,0.530
52,0.560
53,0.590
54,0.620
55,0.650
56,0.680
57,0.700
58,0.720
59,0.735
60,0.745
61,0.750
62,0.750
63,0.745
64,0.740
65,0.730
66,0.720
67,0.710
68,0.700
69,0.680
70,0.664
71,0.650
72,0.630
73,0.610
74,0.580
75,0.550
76,0.500
77,0.470
78,0.440
79,0.410
80,0.380
81,0.360
82,0.340
83,0.320
84,0.295
85,0.280
86,0.265
87,0.256
88,0.252
89,0.260
90,0.270
91,0.285
92,0.300
93,0.320
94,0.340
95,0.360
96,0.380
97,0.400
98,0.430
99,0.450
100,0.480
101,0.500
102,0.530
103,0.570
104,0.600
