Time    ,EPEL_TT ,EPPL_TT ,EPTO_TT ,EPEL_ZZ ,EPPL_ZZ ,EPTO_ZZ ,EPEL_TZ ,EPPL_TZ ,EPTO_TZ ,EPEL_RR ,EPPL_RR ,EPTO_RR ,S_TT    ,S_ZZ    ,S_TZ    ,S_EQV   ,EPPL_EQV,NL_EPEQ 
 0.1000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
 0.2000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.5000000E-03, 0.0000000E+00, 0.5000000E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.2142857E-03, 0.0000000E+00,-0.2142857E-03, 0.3379121E+02, 0.1126374E+03, 0.0000000E+00, 0.1001143E+03, 0.0000000E+00, 0.0000000E+00
 0.3000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1000000E-02, 0.0000000E+00, 0.1000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.4285714E-03, 0.0000000E+00,-0.4285714E-03, 0.6758242E+02, 0.2252747E+03, 0.0000000E+00, 0.2002285E+03, 0.0000000E+00, 0.0000000E+00
 0.4000000E+01, 0.3548669E-04,-0.3548669E-04, 0.0000000E+00, 0.1237703E-02, 0.1622967E-03, 0.1400000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.5456530E-03,-0.1268100E-03,-0.6724630E-03, 0.9164126E+02, 0.2812216E+03, 0.0000000E+00, 0.2484195E+03, 0.1706464E-03, 0.1706523E-03
 0.5000000E+01, 0.7054712E-04,-0.7054712E-04, 0.0000000E+00, 0.1355598E-02, 0.3444020E-03, 0.1700000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.6112051E-03,-0.2738549E-03,-0.8850599E-03, 0.1075071E+03, 0.3101497E+03, 0.0000000E+00, 0.2727771E+03, 0.3638554E-03, 0.3638999E-03
 0.6000000E+01, 0.1042485E-03,-0.1042485E-03, 0.0000000E+00, 0.1456429E-02, 0.5435708E-03, 0.2000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.6688620E-03,-0.4393223E-03,-0.1108184E-02, 0.1219136E+03, 0.3351421E+03, 0.0000000E+00, 0.2938108E+03, 0.5769697E-03, 0.5771075E-03
 0.7000000E+01, 0.1463817E-03,-0.1463817E-03, 0.0000000E+00, 0.1567516E-02, 0.8324835E-03, 0.2400000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.7345286E-03,-0.6861017E-03,-0.1420630E-02, 0.1389128E+03, 0.3630151E+03, 0.0000000E+00, 0.3172527E+03, 0.8888915E-03, 0.8892531E-03
 0.8000000E+01, 0.2024351E-03,-0.2024351E-03, 0.0000000E+00, 0.1696291E-02, 0.1303709E-02, 0.3000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.8137454E-03,-0.1101274E-02,-0.1915020E-02, 0.1602437E+03, 0.3958156E+03, 0.0000000E+00, 0.3448494E+03, 0.1403197E-02, 0.1404092E-02
 0.9000000E+01, 0.2498407E-03,-0.2498407E-03, 0.0000000E+00, 0.1795905E-02, 0.1804095E-02, 0.3600000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.8767483E-03,-0.1554254E-02,-0.2431002E-02, 0.1776544E+03, 0.4214569E+03, 0.0000000E+00, 0.3664878E+03, 0.1954974E-02, 0.1956564E-02
 0.1000000E+02, 0.3012207E-03,-0.3012207E-03, 0.0000000E+00, 0.1902679E-02, 0.2497321E-02, 0.4400000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.9445285E-03,-0.2196100E-02,-0.3140628E-02, 0.1964451E+03, 0.4489827E+03, 0.0000000E+00, 0.3898406E+03, 0.2726438E-02, 0.2729090E-02
