Time    ,EPEL_TT ,EPPL_TT ,EPTO_TT ,EPEL_ZZ ,EPPL_ZZ ,EPTO_ZZ ,EPEL_TZ ,EPPL_TZ ,EPTO_TZ ,EPEL_RR ,EPPL_RR ,EPTO_RR ,S_TT    ,S_ZZ    ,S_TZ    ,S_EQV   ,EPPL_EQV,NL_EPEQ 
 0.1000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
 0.1010000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.7500000E-06, 0.0000000E+00, 0.7500000E-06, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.7500000E-06, 0.0000000E+00,-0.7500000E-06, 0.1025000E+00, 0.2050000E+00, 0.0000000E+00, 0.1775352E+00, 0.0000000E+00, 0.0000000E+00
 0.1020000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1500000E-05, 0.0000000E+00, 0.1500000E-05, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1500000E-05, 0.0000000E+00,-0.1500000E-05, 0.2050000E+00, 0.4100000E+00, 0.0000000E+00, 0.3550704E+00, 0.0000000E+00, 0.0000000E+00
 0.1035000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.2625000E-05, 0.0000000E+00, 0.2625000E-05, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.2625000E-05, 0.0000000E+00,-0.2625000E-05, 0.3587500E+00, 0.7175000E+00, 0.0000000E+00, 0.6213732E+00, 0.0000000E+00, 0.0000000E+00
 0.1057500E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.4312500E-05, 0.0000000E+00, 0.4312500E-05, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.4312500E-05, 0.0000000E+00,-0.4312500E-05, 0.5893750E+00, 0.1178750E+01, 0.0000000E+00, 0.1020827E+01, 0.0000000E+00, 0.0000000E+00
 0.1091250E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.6843750E-05, 0.0000000E+00, 0.6843750E-05, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.6843750E-05, 0.0000000E+00,-0.6843750E-05, 0.9353125E+00, 0.1870625E+01, 0.0000000E+00, 0.1620009E+01, 0.0000000E+00, 0.0000000E+00
 0.1141875E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1064063E-04, 0.0000000E+00, 0.1064063E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1064063E-04, 0.0000000E+00,-0.1064063E-04, 0.1454219E+01, 0.2908437E+01, 0.0000000E+00, 0.2518781E+01, 0.0000000E+00, 0.0000000E+00
 0.1217812E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1633594E-04, 0.0000000E+00, 0.1633594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1633594E-04, 0.0000000E+00,-0.1633594E-04, 0.2232578E+01, 0.4465156E+01, 0.0000000E+00, 0.3866939E+01, 0.0000000E+00, 0.0000000E+00
 0.1317812E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.2383594E-04, 0.0000000E+00, 0.2383594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.2383594E-04, 0.0000000E+00,-0.2383594E-04, 0.3257578E+01, 0.6515156E+01, 0.0000000E+00, 0.5642291E+01, 0.0000000E+00, 0.0000000E+00
 0.1417812E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.3133594E-04, 0.0000000E+00, 0.3133594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.3133594E-04, 0.0000000E+00,-0.3133594E-04, 0.4282578E+01, 0.8565156E+01, 0.0000000E+00, 0.7417643E+01, 0.0000000E+00, 0.0000000E+00
 0.1517813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.3883594E-04, 0.0000000E+00, 0.3883594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.3883594E-04, 0.0000000E+00,-0.3883594E-04, 0.5307578E+01, 0.1061516E+02, 0.0000000E+00, 0.9192995E+01, 0.0000000E+00, 0.0000000E+00
 0.1617813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.4633594E-04, 0.0000000E+00, 0.4633594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.4633594E-04, 0.0000000E+00,-0.4633594E-04, 0.6332578E+01, 0.1266516E+02, 0.0000000E+00, 0.1096835E+02, 0.0000000E+00, 0.0000000E+00
 0.1717813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.5383594E-04, 0.0000000E+00, 0.5383594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.5383594E-04, 0.0000000E+00,-0.5383594E-04, 0.7357578E+01, 0.1471516E+02, 0.0000000E+00, 0.1274370E+02, 0.0000000E+00, 0.0000000E+00
 0.1817813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.6133594E-04, 0.0000000E+00, 0.6133594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.6133594E-04, 0.0000000E+00,-0.6133594E-04, 0.8382578E+01, 0.1676516E+02, 0.0000000E+00, 0.1451905E+02, 0.0000000E+00, 0.0000000E+00
 0.1917813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.6883594E-04, 0.0000000E+00, 0.6883594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.6883594E-04, 0.0000000E+00,-0.6883594E-04, 0.9407578E+01, 0.1881516E+02, 0.0000000E+00, 0.1629440E+02, 0.0000000E+00, 0.0000000E+00
 0.2000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.7500000E-04, 0.0000000E+00, 0.7500000E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.7500000E-04, 0.0000000E+00,-0.7500000E-04, 0.1025000E+02, 0.2050000E+02, 0.0000000E+00, 0.1775352E+02, 0.0000000E+00, 0.0000000E+00
 0.2010000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.7575000E-04, 0.0000000E+00, 0.7575000E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.7575000E-04, 0.0000000E+00,-0.7575000E-04, 0.1035250E+02, 0.2070500E+02, 0.0000000E+00, 0.1793106E+02, 0.0000000E+00, 0.0000000E+00
 0.2020000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.7650000E-04, 0.0000000E+00, 0.7650000E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.7650000E-04, 0.0000000E+00,-0.7650000E-04, 0.1045500E+02, 0.2091000E+02, 0.0000000E+00, 0.1810859E+02, 0.0000000E+00, 0.0000000E+00
 0.2035000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.7762500E-04, 0.0000000E+00, 0.7762500E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.7762500E-04, 0.0000000E+00,-0.7762500E-04, 0.1060875E+02, 0.2121750E+02, 0.0000000E+00, 0.1837489E+02, 0.0000000E+00, 0.0000000E+00
 0.2057500E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.7931250E-04, 0.0000000E+00, 0.7931250E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.7931250E-04, 0.0000000E+00,-0.7931250E-04, 0.1083937E+02, 0.2167875E+02, 0.0000000E+00, 0.1877435E+02, 0.0000000E+00, 0.0000000E+00
 0.2091250E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.8184375E-04, 0.0000000E+00, 0.8184375E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.8184375E-04, 0.0000000E+00,-0.8184375E-04, 0.1118531E+02, 0.2237062E+02, 0.0000000E+00, 0.1937353E+02, 0.0000000E+00, 0.0000000E+00
 0.2141875E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.8564063E-04, 0.0000000E+00, 0.8564063E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.8564063E-04, 0.0000000E+00,-0.8564063E-04, 0.1170422E+02, 0.2340844E+02, 0.0000000E+00, 0.2027230E+02, 0.0000000E+00, 0.0000000E+00
 0.2217812E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.9133594E-04, 0.0000000E+00, 0.9133594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.9133594E-04, 0.0000000E+00,-0.9133594E-04, 0.1248258E+02, 0.2496516E+02, 0.0000000E+00, 0.2162046E+02, 0.0000000E+00, 0.0000000E+00
 0.2317813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.9883594E-04, 0.0000000E+00, 0.9883594E-04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.9883594E-04, 0.0000000E+00,-0.9883594E-04, 0.1350758E+02, 0.2701516E+02, 0.0000000E+00, 0.2339581E+02, 0.0000000E+00, 0.0000000E+00
 0.2417813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1063359E-03, 0.0000000E+00, 0.1063359E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1063359E-03, 0.0000000E+00,-0.1063359E-03, 0.1453258E+02, 0.2906516E+02, 0.0000000E+00, 0.2517116E+02, 0.0000000E+00, 0.0000000E+00
 0.2517813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1138359E-03, 0.0000000E+00, 0.1138359E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1138359E-03, 0.0000000E+00,-0.1138359E-03, 0.1555758E+02, 0.3111516E+02, 0.0000000E+00, 0.2694652E+02, 0.0000000E+00, 0.0000000E+00
 0.2617813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1213359E-03, 0.0000000E+00, 0.1213359E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1213359E-03, 0.0000000E+00,-0.1213359E-03, 0.1658258E+02, 0.3316516E+02, 0.0000000E+00, 0.2872187E+02, 0.0000000E+00, 0.0000000E+00
 0.2717813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1288359E-03, 0.0000000E+00, 0.1288359E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1288359E-03, 0.0000000E+00,-0.1288359E-03, 0.1760758E+02, 0.3521516E+02, 0.0000000E+00, 0.3049722E+02, 0.0000000E+00, 0.0000000E+00
 0.2817813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1363359E-03, 0.0000000E+00, 0.1363359E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1363359E-03, 0.0000000E+00,-0.1363359E-03, 0.1863258E+02, 0.3726516E+02, 0.0000000E+00, 0.3227257E+02, 0.0000000E+00, 0.0000000E+00
 0.2917813E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1438359E-03, 0.0000000E+00, 0.1438359E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1438359E-03, 0.0000000E+00,-0.1438359E-03, 0.1965758E+02, 0.3931516E+02, 0.0000000E+00, 0.3404792E+02, 0.0000000E+00, 0.0000000E+00
 0.3000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1500000E-03, 0.0000000E+00, 0.1500000E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1500000E-03, 0.0000000E+00,-0.1500000E-03, 0.2050000E+02, 0.4100000E+02, 0.0000000E+00, 0.3550704E+02, 0.0000000E+00, 0.0000000E+00
 0.3010000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1507500E-03, 0.0000000E+00, 0.1507500E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1507500E-03, 0.0000000E+00,-0.1507500E-03, 0.2060250E+02, 0.4120500E+02, 0.0000000E+00, 0.3568458E+02, 0.0000000E+00, 0.0000000E+00
 0.3020000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1515000E-03, 0.0000000E+00, 0.1515000E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1515000E-03, 0.0000000E+00,-0.1515000E-03, 0.2070500E+02, 0.4141000E+02, 0.0000000E+00, 0.3586211E+02, 0.0000000E+00, 0.0000000E+00
 0.3035000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1526250E-03, 0.0000000E+00, 0.1526250E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1526250E-03, 0.0000000E+00,-0.1526250E-03, 0.2085875E+02, 0.4171750E+02, 0.0000000E+00, 0.3612841E+02, 0.0000000E+00, 0.0000000E+00
 0.3057500E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1543125E-03, 0.0000000E+00, 0.1543125E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1543125E-03, 0.0000000E+00,-0.1543125E-03, 0.2108937E+02, 0.4217875E+02, 0.0000000E+00, 0.3652787E+02, 0.0000000E+00, 0.0000000E+00
