No,EPTO_TZ
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0.030
17,0.070
18,0.101
19,0.140
20,0.180
21,0.209
22,0.238
23,0.280
24,0.305
25,0.330
26,0.349
27,0.361
28,0.380
29,0.392
30,0.397
31,0.400
32,0.395
33,0.389
34,0.385
35,0.359
36,0.337
37,0.305
38,0.272
39,0.237
40,0.200
41,0.168
42,0.133
43,0.092
44,0.047
45,0
46,-0.045
47,-0.081
48,-0.110
49,-0.150
50,-0.186
51,-0.220
52,-0.256
53,-0.290
54,-0.325
55,-0.355
56,-0.376
57,-0.385
58,-0.393
59,-0.397
60,-0.390
61,-0.383
62,-0.368
63,-0.349
64,-0.326
65,-0.301
66,-0.275
67,-0.240
68,-0.210
69,-0.175
70,-0.141
71,-0.105
72,-0.083
73,-0.055
74,0
75,0.040
76,0.085
77,0.135
78,0.172
79,0.200
80,0.234
81,0.277
82,0.307
83,0.339
84,0.362
85,0.380
86,0.389
87,0.395
88,0.398
89,0.399
90,0.394
91,0.389
92,0.374
93,0.358
94,0.330
95,0.300
96,0.261
97,0.227
98,0.189
99,0.144
100,0.103
101,0.056
102,0.030
103,0
104,-0.040
105,-0.080
106,-0.110
107,-0.155
108,-0.198
109,-0.234
110,-0.273
111,-0.308
112,-0.338
113,-0.360
114,-0.376
115,-0.387
116,-0.390
117,-0.394
118,-0.395
119,-0.390
120,-0.380
121,-0.366
122,-0.349
123,-0.330
124,-0.300
125,-0.268
126,-0.232
127,-0.205
128,-0.166
129,-0.132
130,-0.097
131,-0.060
132,-0.028
133,0
