No,EPTO_ZZ
1,0.050
2,0.100
3,0.140
4,0.190
5,0.250
6,0.310
7,0.380
8,0.450
9,0.500
10,0.600
11,0.680
12,0.750
13,0.840
14,0.900
15,0.960
16,0.959
17,0.950
18,0.940
19,0.920
20,0.900
21,0.880
22,0.860
23,0.820
24,0.790
25,0.760
26,0.730
27,0.700
28,0.650
29,0.600
30,0.550
31,0.500
32,0.450
33,0.400
34,0.350
35,0.310
36,0.270
37,0.230
38,0.190
39,0.160
40,0.130
41,0.110
42,0.090
43,0.070
44,0.055
45,0.045
46,0.050
47,0.060
48,0.070
49,0.090
50,0.110
51,0.135
52,0.170
53,0.210
54,0.250
55,0.300
56,0.350
57,0.390
58,0.440
59,0.500
60,0.550
61,0.600
62,0.650
63,0.690
64,0.730
65,0.745
66,0.790
67,0.830
68,0.860
69,0.890
70,0.910
71,0.930
72,0.940
73,0.950
74,0.961
75,0.960
76,0.950
77,0.930
78,0.919
79,0.890
80,0.870
81,0.833
82,0.800
83,0.760
84,0.710
85,0.670
86,0.630
87,0.590
88,0.550
89,0.500
90,0.450
91,0.410
92,0.360
93,0.320
94,0.270
95,0.230
96,0.190
97,0.160
98,0.130
99,0.100
100,0.080
101,0.060
102,0.053
103,0.047
104,0.049
105,0.055
106,0.065
107,0.085
108,0.110
109,0.140
110,0.180
111,0.220
112,0.260
113,0.300
114,0.340
115,0.380
116,0.410
117,0.450
118,0.500
119,0.550
120,0.600
121,0.640
122,0.680
123,0.710
124,0.750
125,0.790
126,0.830
127,0.860
128,0.890
129,0.910
130,0.930
131,0.945
132,0.955
133,0.960
