No,S_TT
1,47
2,83
3,109
4,138
5,161
6,182
7,198
8,212
9,220
10,234
11,243
12,251
13,258
14,263
15,268
16,287
17,297
18,299
19,299
20,299
21,299
22,299
23,299
24,299
25,300
26,301
27,305
28,309
29,318
30,327
31,334
32,342
33,352
34,357
35,361
36,355
37,348
38,342
39,335
40,330
41,322
42,314
43,309
44,305
45,298
46,306
47,313
48,314
49,318
50,322
51,318
52,319
53,309
54,307
55,322
56,303
57,289
58,282
59,275
60,272
61,268
62,267
63,273
64,280
65,281
66,284
67,286
68,290
69,292
70,305
71,316
72,322
73,326
74,334
75,340
76,342
77,342
78,303
79,242
80,222
81,342
82,344
83,355
84,363
85,367
86,375
87,380
88,388
89,392
90,399
91,403
92,404
93,399
94,392
95,384
96,378
97,371
98,370
99,361
100,354
101,351
102,349
103,347
104,351
105,355
106,357
107,361
108,366
109,355
110,351
111,350
112,340
113,333
114,327
115,323
116,325
117,323
118,322
119,321
120,320
121,318
122,316
123,314
124,314
125,318
126,322
127,326
128,330
129,345
130,351
131,361
132,366
133,371
