No,S_ZZ
1,113
2,223
3,287
4,343
5,380
6,404
7,423
8,439
9,448
10,465
11,476
12,485
13,497
14,505
15,511
16,491
17,445
18,398
19,337
20,286
21,243
22,203
23,158
24,124
25,95
26,74
27,50
28,18
29,-13
30,-40
31,-63
32,-85
33,-98
34,-111
35,-118
36,-130
37,-136
38,-136
39,-130
40,-122
41,-116
42,-108
43,-99
44,-72
45,-52
46,-19
47,10
48,33
49,74
50,109
51,144
52,191
53,237
54,273
55,322
56,362
57,387
58,425
59,460
60,488
61,509
62,526
63,541
64,551
65,553
66,560
67,564
68,566
69,564
70,557
71,547
72,540
73,530
74,508
75,472
76,416
77,350
78,303
79,269
80,222
81,171
82,135
83,101
84,62
85,30
86,2
87,-24
88,-49
89,-77
90,-98
91,-113
92,-129
93,-142
94,-155
95,-165
96,-163
97,-153
98,-142
99,-127
100,-113
101,-89
102,-77
103,-66
104,-38
105,-5
106,23
107,67
108,113
109,156
110,209
111,256
112,295
113,333
114,367
115,402
116,426
117,457
118,494
119,526
120,544
121,558
122,573
123,579
124,586
125,593
126,598
127,597
128,591
129,583
130,572
131,559
132,546
133,533
