Time    ,EPEL_TT ,EPPL_TT ,EPTO_TT ,EPEL_ZZ ,EPPL_ZZ ,EPTO_ZZ ,EPEL_TZ ,EPPL_TZ ,EPTO_TZ ,EPEL_RR ,EPPL_RR ,EPTO_RR ,S_TT    ,S_ZZ    ,S_TZ    ,S_EQV   ,EPPL_EQV,NL_EPEQ 
 0.1000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
 0.2000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.5000000E-03, 0.0000000E+00, 0.5000000E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.5000000E-03, 0.0000000E+00,-0.5000000E-03, 0.6833334E+02, 0.1366667E+03, 0.0000000E+00, 0.1183568E+03, 0.0000000E+00, 0.0000000E+00
 0.3000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1000000E-02, 0.0000000E+00, 0.1000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1000000E-02, 0.0000000E+00,-0.1000000E-02, 0.1366667E+03, 0.2733333E+03, 0.0000000E+00, 0.2367136E+03, 0.0000000E+00, 0.0000000E+00
 0.4000000E+01, 0.2896978E-15,-0.2896978E-15, 0.0000000E+00, 0.1256960E-02, 0.2430401E-03, 0.1500000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1256963E-02,-0.2430401E-03,-0.1500003E-02, 0.1717849E+03, 0.3435698E+03, 0.0000000E+00, 0.2975402E+03, 0.2806385E-03, 0.2806373E-03
 0.5000000E+01, 0.6398981E-15,-0.6398981E-15, 0.0000000E+00, 0.1387274E-02, 0.6127260E-03, 0.2000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1387277E-02,-0.6127260E-03,-0.2000003E-02, 0.1895946E+03, 0.3791891E+03, 0.0000000E+00, 0.3283874E+03, 0.7075151E-03, 0.7075120E-03
 0.6000000E+01, 0.9345564E-15,-0.9345564E-15, 0.0000000E+00, 0.1485354E-02, 0.1014646E-02, 0.2500000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1485358E-02,-0.1014646E-02,-0.2500004E-02, 0.2029989E+03, 0.4059978E+03, 0.0000000E+00, 0.3516044E+03, 0.1171613E-02, 0.1171607E-02
 0.7000000E+01, 0.1180446E-14,-0.1180446E-14, 0.0000000E+00, 0.1558006E-02, 0.1441994E-02, 0.3000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1558010E-02,-0.1441994E-02,-0.3000004E-02, 0.2129281E+03, 0.4258561E+03, 0.0000000E+00, 0.3688022E+03, 0.1665071E-02, 0.1665063E-02
 0.8000000E+01, 0.1384251E-14,-0.1384251E-14, 0.0000000E+00, 0.1612302E-02, 0.1887698E-02, 0.3500000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1612307E-02,-0.1887698E-02,-0.3500005E-02, 0.2203486E+03, 0.4406972E+03, 0.0000000E+00, 0.3816550E+03, 0.2179726E-02, 0.2179714E-02
 0.9000000E+01, 0.1610675E-14,-0.1610675E-14, 0.0000000E+00, 0.1668548E-02, 0.2531451E-02, 0.4200000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1668548E-02,-0.2531451E-02,-0.4200000E-02, 0.2280350E+03, 0.4560699E+03, 0.0000000E+00, 0.3949681E+03, 0.2923068E-02, 0.2923056E-02
 0.1000000E+02, 0.1805663E-14,-0.1805663E-14, 0.0000000E+00, 0.1716988E-02, 0.3283012E-02, 0.5000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1716988E-02,-0.3283012E-02,-0.5000000E-02, 0.2346551E+03, 0.4693101E+03, 0.0000000E+00, 0.4064345E+03, 0.3790895E-02, 0.3790883E-02
 0.1100000E+02, 0.1982810E-14,-0.1982810E-14, 0.0000000E+00, 0.1766233E-02, 0.4233766E-02, 0.6000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1766233E-02,-0.4233766E-02,-0.6000000E-02, 0.2413852E+03, 0.4827705E+03, 0.0000000E+00, 0.4180915E+03, 0.4888732E-02, 0.4888719E-02
 0.1200000E+02, 0.4174018E-03, 0.5259815E-04, 0.4700000E-03, 0.1501594E-02, 0.4448406E-02, 0.5950000E-02, 0.1776178E-03, 0.2238219E-04, 0.2000000E-03,-0.1918997E-02,-0.4501004E-02,-0.6420001E-02, 0.3193078E+03, 0.4674807E+03, 0.2427446E+02, 0.4159245E+03, 0.5167277E-02, 0.5174343E-02
 0.1300000E+02, 0.7426228E-03, 0.1973771E-03, 0.9400000E-03, 0.1209690E-02, 0.4640310E-02, 0.5850000E-02, 0.3160097E-03, 0.8399028E-04, 0.4000000E-03,-0.1952314E-02,-0.4837687E-02,-0.6790001E-02, 0.3683082E+03, 0.4321407E+03, 0.4318805E+02, 0.4108907E+03, 0.5476541E-02, 0.5520428E-02
 0.1400000E+02, 0.9423073E-03, 0.3576927E-03, 0.1300000E-02, 0.9962345E-03, 0.4753766E-02, 0.5750000E-02, 0.3891884E-03, 0.1508116E-03, 0.5400000E-03,-0.1938542E-02,-0.5111458E-02,-0.7050001E-02, 0.3937162E+03, 0.4010862E+03, 0.5318910E+02, 0.4079898E+03, 0.5709567E-02, 0.5806409E-02
 0.1500000E+02, 0.1162841E-02, 0.6371586E-03, 0.1800000E-02, 0.7388578E-03, 0.4861142E-02, 0.5600000E-02, 0.4408280E-03, 0.2591720E-03, 0.7000000E-03,-0.1901702E-02,-0.5498301E-02,-0.7400002E-02, 0.4188212E+03, 0.3608765E+03, 0.6024660E+02, 0.4066808E+03, 0.6022310E-02, 0.6225347E-02
 0.1600000E+02, 0.1339970E-02, 0.9000300E-03, 0.2240000E-02, 0.4987323E-03, 0.4901268E-02, 0.5400000E-02, 0.4592157E-03, 0.3507842E-03, 0.8100000E-03,-0.1838703E-02,-0.5801298E-02,-0.7640001E-02, 0.4344189E+03, 0.3194495E+03, 0.6275954E+02, 0.4047334E+03, 0.6257456E-02, 0.6571366E-02
 0.1700000E+02, 0.1497257E-02, 0.1242743E-02, 0.2740000E-02, 0.2983558E-03, 0.4901644E-02, 0.5200000E-02, 0.4029125E-03, 0.4470875E-03, 0.8500000E-03,-0.1795614E-02,-0.6144388E-02,-0.7940002E-02, 0.4500260E+03, 0.2861758E+03, 0.5506477E+02, 0.4058692E+03, 0.6517863E-02, 0.6982870E-02
 0.1800000E+02, 0.1618950E-02, 0.1631050E-02, 0.3250000E-02, 0.1348911E-03, 0.4865109E-02, 0.5000000E-02, 0.3415414E-03, 0.5284586E-03, 0.8700000E-03,-0.1753843E-02,-0.6496159E-02,-0.8250002E-02, 0.4609488E+03, 0.2581269E+03, 0.4667739E+02, 0.4082356E+03, 0.6786665E-02, 0.7422039E-02
 0.1900000E+02, 0.1712848E-02, 0.1987152E-02, 0.3700000E-02,-0.5951239E-05, 0.4805951E-02, 0.4800000E-02, 0.2685860E-03, 0.5814140E-03, 0.8500000E-03,-0.1706898E-02,-0.6793103E-02,-0.8500001E-02, 0.4673656E+03, 0.2324627E+03, 0.3670677E+02, 0.4097153E+03, 0.7017515E-02, 0.7808682E-02
