No,EPTO_TT
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0.047
12,0.094
13,0.130
14,0.180
15,0.224
16,0.274
17,0.325
18,0.370
19,0.420
20,0.470
21,0.520
22,0.550
23,0.599
24,0.643
25,0.686
26,0.725
27,0.752
28,0.786
29,0.816
30,0.857
31,0.887
32,0.916
33,0.949
34,0.974
35,1.000
36,1.034
37,1.080
38,1.130
39,1.170
40,1.202
41,1.250
42,1.302
43,1.350
44,1.400
45,1.446
46,1.500
47,1.550
48,1.590
49,1.626
50,1.676
51,1.724
52,1.768
53,1.800
54,1.830
55,1.864
56,1.896
57,1.918
58,1.940
59,1.966
60,1.996
61,2.020
62,2.048
63,2.065
64,2.100
65,2.163
