No,EPTO_TT
1,0
2,-0.01
3,-0.02
4,-0.03
5,-0.04
6,-0.06
7,-0.07
8,-0.08
9,-0.1
10,-0.12
11,-0.13
12,-0.15
13,-0.18
14,-0.21
15,-0.26
16,-0.4
17,-0.54
18,-0.56
19,-0.55
20,-0.54
21,-0.52
22,-0.5
23,-0.48
24,-0.46
25,-0.44
26,-0.41
27,-0.38
28,-0.36
29,-0.33
30,-0.3
31,-0.24
32,-0.18
33,-0.14
34,-0.06
35,0.08
36,0.23
37,0.36
38,0.51
39,0.54
40,0.52
41,0.50
42,0.48
43,0.47
44,0.44
45,0.42
46,0.4
47,0.37
48,0.35
49,0.32
50,0.3
51,0.27
52,0.19
53,0.05
54,-0.1
55,-0.24
56,-0.38
57,-0.52
58,-0.58
59,-0.64
60,-0.62
61,-0.58
62,-0.55
63,-0.5
64,-0.46
65,-0.37
66,-0.26
67,0.04
68,0.46
69,0.42
70,0.42
71,0.38
72,0.33
73,0.26
74,0.15
75,-0.1
76,-0.36
77,-0.64
