No,EPTO_ZZ
1,0
2,0.04
3,0.07
4,0.1
5,0.13
6,0.157
7,0.19
8,0.22
9,0.24
10,0.27
11,0.3
12,0.36
13,0.42
14,0.47
15,0.59
16,0.87
17,1.16
18,1.20
19,1.17
20,1.11
21,1.06
22,1.00
23,0.94
24,0.89
25,0.83
26,0.77
27,0.71
28,0.66
29,0.6
30,0.54
31,0.43
32,0.31
33,0.2
34,0.03
35,-0.26
36,-0.54
37,-0.83
38,-1.11
39,-1.2
40,-1.14
41,-1.09
42,-1.03
43,-0.97
44,-0.91
45,-0.86
46,-0.8
47,-0.74
48,-0.69
49,-0.63
50,-0.58
51,-0.53
52,-0.34
53,-0.06
54,0.23
55,0.51
56,0.8
57,1.08
58,1.2
59,1.2
60,1.14
61,1.03
62,0.91
63,0.8
64,0.69
65,0.52
66,0.23
67,-0.17
68,-0.74
69,-1.2
70,-1.06
71,-0.83
72,-0.94
73,-0.66
74,0.08
75,0.66
76,1.20
77,1.20
